"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ottensen","35370.0","5567.0","15.7393271134","4756.0","13.4464235228","4616.0","13.0506078598","9189.0","25.9950776542","1897.0","34.069683908","21458.0","1.66958710038","13068.0","60.9003635008","3724.0","17.3548326964","1025.0","27.5241675618","2.79519065763","12653.8774389","510.0","203.0","3763.0","3900.0","-137.0","14798.0","57.4233604967","1146.0","4.4470314319","45.0","1.5389876881","216.0","5.54557124519","2231.0","6.30760531524","432.0","8.91824938068","1462.0","18815.0","40830.0","2381.0","19477.0","53.0","407.0","2.08964419572","70.319402372","38.7223918575","1349.0","6.92611798532","801.0","59.3773165308","1483.0",".    ","5083.0","34.0","4.0","1546.0","48.9003880983","49.0944372574","167.0","28.0","64.0","10.0","9810.0","277.353689567"
"Bahrenfeld","31047.0","5102.0","16.4331497407","3985.0","12.8353786195","7531.0","24.2567719909","11413.0","36.7544763622","2530.0","49.5786792083","16486.0","1.71242266165","9770.0","59.2624044644","2818.0","17.0932912774","686.0","24.3435060326","10.540972282","2945.36397302","433.0","241.0","6361.0","5155.0","1206.0","12404.0","54.5638499098","1445.0","6.35639818766","182.0","4.89642184557","213.0","7.54249291785","3735.0","12.0301478404","743.0","17.1633171633","2449.0","14963.0","33565.0","3524.0","14432.0","212.0","2302.0","15.9506651885","69.7091186253","32.4038393404","407.0","2.82012195122","35.0","8.59950859951","674.0","4367.0","3739.0","26.0","4.0","1350.0","56.0","41.5555555556","36.0","12.0","23.0","4.0","8796.0","283.312397333"
"Groß Flottbek","10955.0","2244.0","20.4837973528","2336.0","21.3235965313","1378.0","12.578731173","2427.0","22.1623596019","623.0","27.7876895629","5191.0","2.10749373916","2216.0","42.6892698902","1304.0","25.1204006935","189.0","14.4938650307","2.3707788771","4620.84427435","94.0","95.0","1265.0","1215.0","50.0","3155.0","46.6026587888","117.0","1.7282127031","10.0","0.814332247557","31.0","2.62489415749","102.0","0.931081697855","12.0","0.648999459167","76.0","5126.0","85952.0","2436.0","5247.0","37.0","2200.0","41.928721174","103.92033543","49.7736193519","36.0","0.686106346484","0.0","0.0","1122.0","5367.0","4464.0","7.0","1.0","717.0","13.9470013947","85.4951185495","66.0","12.0","20.0","4.0","4723.0","431.127339115"
"Othmarschen","14893.0","2985.0","20.0429732089","3183.0","21.3724568589","1795.0","12.0526421809","3572.0","23.9828118706","1018.0","34.0696117805","7053.0","2.10123351765","2940.0","41.6843896214","1760.0","24.9539203176","231.0","13.125","5.9468143574","2504.36605297","188.0","154.0","1657.0","1424.0","233.0","4567.0","50.021905805","184.0","2.01533406353","8.0","0.629921259843","38.0","2.42966751918","370.0","2.48438863896","108.0","4.18604651163","194.0","7056.0","108258.0","2737.0","6965.0","116.0","2351.0","33.7544867193","112.993395549","52.8435506614","157.0","2.25412778177","0.0","0.0","1431.0","6485.0","5880.0","16.0","3.0","786.0","15.2671755725","83.4605597964","39.0","8.0","7.0","2.0","6585.0","442.154032096"
"Lurup","36053.0","7178.0","19.9095775664","6640.0","18.4173300419","7020.0","19.4713338696","16821.0","46.6640774544","4669.0","65.0731707317","17530.0","2.04209925841","7808.0","44.5407872219","4107.0","23.4284084427","1201.0","29.2427562698","6.2923383561","5729.66645461","427.0","390.0","3203.0","2782.0","421.0","12964.0","55.4230259502","1811.0","7.74229404472","189.0","4.56411494808","273.0","6.35179153094","6259.0","17.3605525199","1973.0","32.7632015942","2897.0","15733.0","26665.0","5423.0","15951.0","53.0","5175.0","32.4431070152","77.195473638","34.1537458741","2562.0","16.0616889223","758.0","29.5862607338","445.0","3158.0","2755.0","22.0","4.0","2318.0","61.8205349439","34.5556514236","29.0","15.0","12.0","5.0","11751.0","325.936815244"
"Osdorf","26140.0","5229.0","20.0038255547","5910.0","22.6090283091","4522.0","17.299158378","10230.0","39.1563959274","2930.0","56.0443764346","13046.0","1.99118503756","6083.0","46.6273187184","2964.0","22.7196075425","855.0","28.8461538462","7.2508422544","3605.09842621","255.0","321.0","3208.0","3569.0","-361.0","8302.0","52.4215444844","1052.0","6.64267222327","99.0","3.69127516779","169.0","5.62208915502","3630.0","13.8867635807","1119.0","25.4723423628","1717.0","11482.0","43177.0","4024.0","12412.0","12.0","3338.0","26.8933290364","84.3723815662","40.0623565417","1200.0","9.66806316468","682.0","56.8333333333","786.0","4523.0","3216.0","14.0","4.0","1745.0","51.6905444126","44.2979942693","67.0","18.0","14.0","6.0","9167.0","350.688599847"
"Nienstedten","7238.0","1448.0","20.0055263885","1850.0","25.5595468361","729.0","10.0718430506","1361.0","18.8087341072","360.0","24.861878453","3491.0","2.09510169006","1518.0","43.4832426239","831.0","23.8040676024","125.0","15.0421179302","4.3794291018","1652.72683534","53.0","74.0","760.0","704.0","56.0","1728.0","41.0646387833","89.0","2.11501901141","3.0","0.423728813559","17.0","2.01660735469","44.0","0.607902735562","6.0","0.508474576271","33.0","3286.0","120716.0","1807.0","3207.0","16.0","1706.0","53.1961334581","124.207047085","55.0334346505","0.0","0.0","0.0","0.0","1295.0","6419.0","5587.0","8.0","1.0","486.0","20.987654321","76.9547325103","17.0","1.0","7.0","2.0","3653.0","504.697430229"
"Blankenese","13407.0","2488.0","18.5574699784","3652.0","27.2395017528","1091.0","8.137540091","2295.0","17.1255876427","629.0","25.2813504823","6935.0","2.0","3145.0","45.3496755588","1429.0","20.6056236482","243.0","17.0048985304","7.7357713988","1733.11739823","93.0","106.0","1236.0","1148.0","88.0","3574.0","46.2833462833","150.0","1.9425019425","3.0","0.25","34.0","2.16284987277","127.0","0.947266353397","11.0","0.541072306936","103.0","6279.0","117139.0","3388.0","6796.0","56.0","3108.0","45.7327839906","116.955856386","59.2848511971","32.0","0.470865214832","0.0","0.0","1615.0","6834.0","5249.0","9.0","3.0","813.0","22.3862238622","77.4907749077","110.0","22.0","25.0","5.0","6621.0","493.846498098"
"Iserbrook","11324.0","2018.0","17.8205581067","2865.0","25.3002472625","935.0","8.25679971741","2408.0","21.2626931567","681.0","33.7295690936","5629.0","1.97708296323","2528.0","44.9102860188","1240.0","22.0287795346","291.0","23.4677419355","2.6701206144","4241.00691891","96.0","183.0","1069.0","907.0","162.0","3886.0","57.3325464739","265.0","3.90970787843","12.0","1.19047619048","60.0","4.48095593727","615.0","5.43094312964","136.0","8.09042236764","353.0","5539.0","39439.0","2471.0","5682.0","51.0","2297.0","40.425906371","83.9267863428","42.1116213352","132.0","2.32312565998","0.0","0.0","578.0","3749.0","3243.0","8.0","3.0","670.0","46.2686567164","51.9402985075","9.0","7.0","6.0","1.0","4680.0","413.281525963"
"Sülldorf","9430.0","1845.0","19.5652173913","1974.0","20.9331919406","1272.0","13.4888653234","2253.0","23.9019732654","562.0","30.4772234273","4642.0","2.01206376562","2137.0","46.0361912969","1058.0","22.7919000431","233.0","22.02268431","5.7361838417","1643.95009997","92.0","94.0","1235.0","824.0","411.0","3027.0","50.8056394763","286.0","4.80026854649","26.0","2.43445692884","51.0","4.49735449735","725.0","7.6882290562","160.0","10.6809078772","450.0","4247.0","43584.0","2371.0","4381.0","4.0","2224.0","50.7646656015","90.5044510386","42.046659597","208.0","4.74777448071","0.0","0.0","719.0","4092.0","3165.0","3.0","1.0","628.0","40.4458598726","58.4394904459","12.0","7.0","3.0","2.0","3711.0","393.531283139"
"Rissen","15192.0","2780.0","18.299104792","4654.0","30.6345444971","1112.0","7.3196419168","2569.0","16.9191253952","747.0","26.8898488121","7742.0","1.98165848618","3509.0","45.3242056316","1650.0","21.3123223973","312.0","18.9090909091","16.7038479214","909.49103892","118.0","256.0","1278.0","1037.0","241.0","4292.0","51.9423938037","288.0","3.48541691879","15.0","1.16640746501","77.0","4.28253615128","594.0","3.90995260664","158.0","6.94505494505","334.0","7287.0","65855.0","3736.0","7386.0","37.0","3469.0","46.96723531","100.878554021","49.0448262243","178.0","2.40996479827","124.0","69.6629213483","604.0","4027.0","3870.0","7.0","2.0","959.0","33.2638164755","65.9019812304","33.0","7.0","16.0","4.0","6738.0","443.522906793"
"Eimsbüttel","57055.0","7192.0","12.6053807729","7149.0","12.5300148979","6844.0","11.9954429936","13148.0","23.0521074409","2338.0","32.4902723735","38461.0","1.5236213307","25984.0","67.5593458308","4974.0","12.9325810561","1299.0","26.1158021713","3.22554870501","17688.4633338","849.0","350.0","6938.0","7135.0","-197.0","26662.0","61.2694181451","1728.0","3.97095321261","74.0","1.65770609319","279.0","4.91889985896","2642.0","4.6306195776","427.0","6.68231611894","1865.0","32492.0","37536.0","3253.0","34127.0","17.0","309.0","0.90544143933","63.8957130718","38.2187187801","666.0","1.95153397603","265.0","39.7897897898","1451.0",".    ","4396.0","63.0","8.0","1803.0","35.1636161952","61.0648918469","278.0","35.0","57.0","12.0","15187.0","266.181754447"
"Rotherbaum","16456.0","2244.0","13.6363636364","2599.0","15.7936315022","2768.0","16.8206125425","4882.0","29.6778115502","816.0","36.3798484173","10668.0","1.58530183727","6922.0","64.8856392951","1427.0","13.3764529434","323.0","22.6348983882","2.7353092669","6016.13872301","195.0","84.0","2542.0","2532.0","10.0","6066.0","50.9962168979","345.0","2.90037831021","11.0","0.730411686587","53.0","3.07603017992","444.0","2.698104035","55.0","2.80326197757","332.0","8142.0","68191.0","1195.0","9923.0","93.0","327.0","3.29537438275","82.9941549934","50.0456368498","79.0","0.79613020256","24.0","30.3797468354","3376.0","8719.0","6178.0","16.0","2.0","602.0","16.9435215947","82.0598006645","129.0","18.0","48.0","7.0","5411.0","328.816237239"
"Harvestehude","17822.0","2791.0","15.660419706","3639.0","20.4185837729","2278.0","12.7819548872","4592.0","25.7716915479","944.0","33.8108882521","10812.0","1.70606733259","6441.0","59.5726970033","1714.0","15.8527561968","373.0","21.7619603267","2.0505243879","8691.43527635","203.0","149.0","2348.0","2069.0","279.0","5647.0","47.7224710555","420.0","3.54939575763","14.0","0.910273081925","78.0","3.76084860174","649.0","3.64156660307","104.0","4.42553191489","449.0","9233.0","111088.0","1346.0","10031.0","0.0","531.0","5.2935898714","96.7674209949","54.4649309842","75.0","0.747682185226","32.0","42.6666666667","3771.0","8352.0","8101.0","19.0","1.0","774.0","16.9250645995","82.1705426357","142.0","15.0","48.0","5.0","6859.0","384.861407249"
"Hoheluft-West","13089.0","1677.0","12.8122851249","1764.0","13.4769653908","1376.0","10.5126442051","2657.0","20.3258873929","445.0","26.5830346476","8731.0","1.53899896919","5775.0","66.1436261597","1197.0","13.7097697858","306.0","25.5639097744","0.71951873651","18191.3261404","175.0","95.0","1751.0","1872.0","-121.0","6170.0","62.5760649087","288.0","2.92089249493","6.0","0.574162679426","60.0","4.70588235294","362.0","2.76568110627","49.0","3.34470989761","279.0","7902.0","42169.0","794.0","7907.0","36.0","109.0","1.37852535728","66.2874668016","40.0439300176","12.0","0.151764259517","0.0","0.0","1692.0","6066.0","5124.0","9.0","1.0","430.0","24.4186046512","73.2558139535","31.0","8.0","11.0","3.0","3732.0","285.12491405"
"Lokstedt","28426.0","4794.0","16.864842046","5795.0","20.3862660944","3924.0","13.8042637022","8326.0","29.3096771922","2081.0","43.4719030708","15393.0","1.81563048139","8307.0","53.9660884818","2934.0","19.0606119665","625.0","21.3019768234","4.89619990302","5805.72700524","322.0","315.0","3203.0","3115.0","88.0","11018.0","59.595413241","715.0","3.86737343141","52.0","1.84790334044","128.0","4.50070323488","1991.0","7.00415112925","548.0","13.227130099","987.0","14273.0","41778.0","3176.0","14778.0","20.0","2129.0","14.4065502774","74.1990120449","38.5742981777","302.0","2.04357829206","122.0","40.3973509934","736.0","3922.0","3656.0","20.0","4.0","1276.0","36.8338557994","57.8369905956","59.0","17.0","17.0","7.0","9574.0","336.80433406"
"Niendorf","41836.0","6578.0","15.7233005067","10881.0","26.0087006406","4382.0","10.4742327182","9189.0","21.9811501292","2330.0","35.4534388314","21637.0","1.8847344826","10254.0","47.3910431206","3996.0","18.4683643758","790.0","19.7697697698","12.417588871","3369.09205439","408.0","445.0","4359.0","3590.0","769.0","15104.0","59.2127959856","800.0","3.13627097381","83.0","2.11464968153","180.0","3.55871886121","1679.0","4.01328998948","374.0","6.86616486139","1024.0","20811.0","41651.0","8473.0","20710.0","179.0","7304.0","35.26798648","85.6917914051","42.4198537145","811.0","3.91598261709","578.0","71.2700369914","515.0","3597.0","3259.0","19.0","5.0","1994.0","36.6599799398","60.6820461384","90.0","21.0","36.0","8.0","17573.0","420.044937375"
"Schnelsen","29409.0","5473.0","18.6099493352","5899.0","20.0584854976","4069.0","13.8359005747","9101.0","30.9473612622","2566.0","46.8590211833","14247.0","2.03790271636","6118.0","42.9423738331","3291.0","23.0995999158","794.0","24.1264053479","8.9507571336","3285.6438356","330.0","268.0","3289.0","2911.0","378.0","10980.0","57.7469233197","918.0","4.82802145787","101.0","2.98639858072","153.0","4.29775280899","2875.0","9.77591893638","855.0","19.0169039146","1393.0","13530.0","37866.0","5758.0","13289.0","48.0","5249.0","39.4988336218","88.5660320566","40.0201978986","1674.0","12.5968846414","29.0","1.73237753883","466.0","3367.0","2750.0","25.0","4.0","1735.0","57.2910662824","40.3458213256","51.0","19.0","29.0","6.0","12110.0","411.778707198"
"Eidelstedt","32403.0","5282.0","16.3009597877","7214.0","22.2633706756","5164.0","15.9367959757","11306.0","34.9295600593","2900.0","55.0180231455","17297.0","1.88269642134","8541.0","49.3785049431","3263.0","18.8645429843","856.0","26.2335274287","8.7223513764","3714.93862167","351.0","310.0","3224.0","2894.0","330.0","12230.0","58.9909318927","1179.0","5.68686089138","125.0","3.75262683879","207.0","5.39906103286","3508.0","10.8261580718","987.0","22.144940543","1786.0","15376.0","30938.0","5061.0","15766.0","103.0","4372.0","27.7305594317","75.2780032982","36.6272567355","1307.0","8.28999112013","104.0","7.9571537873","455.0","2869.0","2775.0","10.0","5.0","1592.0","58.040201005","38.9447236181","54.0","16.0","19.0","6.0","11539.0","356.109002253"
"Stellingen","25634.0","3538.0","13.801981743","4902.0","19.1230397129","4735.0","18.4715612078","8586.0","33.4854334854","1777.0","50.0704423781","14439.0","1.69776300298","8317.0","57.6009418935","2175.0","15.0633700395","530.0","24.367816092","6.0892014642","4209.74739475","289.0","251.0","4603.0","4010.0","593.0","10507.0","59.3381148698","880.0","4.96978596035","72.0","2.50086835707","127.0","4.81790591806","2179.0","8.50042911758","484.0","16.0","1345.0","12277.0","32600.0","2773.0","13710.0","36.0","1688.0","12.3121808899","69.6543398979","37.2536865101","197.0","1.43690736689","30.0","15.2284263959","492.0","3690.0","3340.0","11.0","3.0","876.0","46.4611872146","48.6301369863","36.0","12.0","8.0","3.0","8172.0","318.795349926"
"Hoheluft-Ost","9584.0","1243.0","12.9695325543","1519.0","15.8493322204","999.0","10.4236227045","2068.0","21.6091954023","351.0","28.3292978208","6279.0","1.58353240962","3988.0","63.5132982959","870.0","13.8557095079","212.0","24.367816092","0.56550447799","16947.6995727","151.0","65.0","1249.0","1172.0","77.0","4206.0","60.0513992005","245.0","3.4980011422","0.0","0.0","59.0","5.44783010157","289.0","3.01544240401","38.0","3.58152686145","228.0","5182.0","52006.0","632.0","5998.0","0.0","92.0","1.53384461487","72.6368789597","45.4586811352","106.0","1.76725575192","0.0","0.0","2152.0","6066.0","5124.0","6.0","0.0","319.0","23.5109717868","76.1755485893","187.0","51.0","18.0","4.0","3140.0","327.629382304"
"Eppendorf","24387.0","3342.0","13.704022635","4551.0","18.6615819904","2324.0","9.52966744577","4884.0","20.0352791566","948.0","28.3917340521","15195.0","1.62678512669","9439.0","62.119118131","2204.0","14.5047713064","484.0","21.9600725953","2.6692541148","9136.26015027","346.0","223.0","3086.0","3103.0","-17.0","10302.0","61.0525068152","482.0","2.85646556833","22.0","1.10220440882","101.0","4.1107041107","552.0","2.26350104564","66.0","2.22822417286","414.0","13210.0","58438.0","1627.0","14070.0","12.0","373.0","2.65103056148","79.9783226724","46.1432320499","664.0","4.71926083866","148.0","22.2891566265","2348.0","5926.0","4999.0","13.0","3.0","809.0","20.2719406675","76.761433869","155.0","26.0","45.0","10.0","8006.0","328.289662525"
"Groß Borstel","8459.0","1440.0","17.0232888048","1802.0","21.3027544627","1287.0","15.2145643693","2242.0","26.5294048042","572.0","39.7774687065","4553.0","1.76696683505","2517.0","55.2822314957","769.0","16.889962662","186.0","24.1872561769","3.985755325","2122.30789656","105.0","91.0","1458.0","1770.0","-312.0","3027.0","55.5310952119","276.0","5.06329113924","18.0","2.23325062035","63.0","6.03448275862","664.0","7.84962761556","146.0","12.1061359867","408.0","4064.0","42631.0","1749.0","4440.0","16.0","1574.0","35.4504504505","74.7657657658","39.2434093865","213.0","4.7972972973","82.0","38.4976525822","529.0","4159.0","3828.0","8.0","2.0","425.0","38.3529411765","56.9411764706","5.0","4.0","7.0","2.0","3179.0","375.812743823"
"Alsterdorf","14428.0","2326.0","16.1214305517","2825.0","19.5799833657","1786.0","12.3787080676","3712.0","25.7402399279","893.0","38.3426363246","7659.0","1.79592636114","4112.0","53.6884710798","1376.0","17.9657918788","342.0","24.8546511628","3.1552410515","4572.70926833","149.0","156.0","1895.0","1524.0","371.0","5268.0","54.6926910299","339.0","3.51951827243","27.0","1.81695827725","69.0","4.08767772512","966.0","6.69531466593","253.0","12.836123795","494.0","6302.0","52426.0","1977.0","7610.0","262.0","1303.0","17.1222076216","77.5521681997","40.9046298863","786.0","10.3285151117","341.0","43.3842239186","821.0","5819.0","4261.0","10.0","2.0","655.0","38.9312977099","56.7938931298","36.0","9.0","10.0","5.0","5185.0","359.370668145"
"Winterhude","54826.0","6845.0","12.4849523948","8064.0","14.7083500529","6629.0","12.0909787327","12849.0","23.4475081662","2361.0","34.4973699591","35273.0","1.56088226122","23001.0","65.208516429","4610.0","13.0694865761","1090.0","23.6442516269","7.58430863334","7228.87248536","728.0","334.0","7473.0","7287.0","186.0","25441.0","62.4380307269","1428.0","3.50463849212","78.0","1.60230073952","245.0","4.66577794706","2414.0","4.40302046474","431.0","7.1642287234","1620.0","29898.0","51627.0","3631.0","32664.0","324.0","718.0","2.19813862356","69.7068638256","41.5296574618","723.0","2.21344599559","142.0","19.6403872752","2639.0","7408.0","5020.0","40.0","4.0","1682.0","38.7039239001","59.2152199762","231.0","44.0","73.0","14.0","17613.0","321.252690329"
"Uhlenhorst","17599.0","2163.0","12.2904710495","3438.0","19.5352008637","1961.0","11.1426785613","4220.0","23.9840863882","816.0","37.7253814147","11295.0","1.58866755201","7121.0","63.0455953962","1495.0","13.2359451085","301.0","20.1337792642","2.1806117528","8070.67098368","213.0","209.0","2607.0","2177.0","430.0","7384.0","60.1498859563","368.0","2.99771912675","11.0","0.88141025641","63.0","3.45963756178","421.0","2.39218137394","52.0","2.75862068966","316.0","9924.0","62479.0","1202.0","10615.0","225.0","242.0","2.27979274611","78.6073480923","47.4127507245","174.0","1.63918982572","0.0","0.0","2943.0","7881.0","6246.0","11.0","1.0","500.0","26.6","72.2","91.0","22.0","18.0","4.0","6365.0","361.668276607"
"Hohenfelde","9886.0","1176.0","11.8956099535","1614.0","16.3261177423","1860.0","18.8144851305","3546.0","35.8943212876","714.0","60.7142857143","6229.0","1.53716487398","4068.0","65.3074329748","699.0","11.2217049286","148.0","21.1731044349","1.1547509821","8561.15314318","135.0","100.0","1936.0","1514.0","422.0","4247.0","58.6035600938","306.0","4.22243687043","14.0","1.41271442987","49.0","5.35519125683","721.0","7.29314181671","157.0","15.3170731707","419.0","5111.0","39541.0","686.0","5758.0","107.0","143.0","2.4835012157","67.6326849601","39.3919684402","89.0","1.5456755818","0.0","0.0","1475.0",".    ","4273.0","3.0","0.0","264.0","47.3484848485","50.3787878788","36.0","11.0","14.0","2.0","2706.0","273.720412705"
"Barmbek-Süd","34792.0","3625.0","10.4190618533","5058.0","14.5378247873","4597.0","13.212807542","9200.0","26.4527444722","1653.0","45.6125827815","23727.0","1.47414338096","16333.0","68.8371896995","2532.0","10.6713870274","729.0","28.7914691943","3.09177391643","11253.0867199","439.0","304.0","5466.0","4494.0","972.0","17416.0","65.6093426257","1197.0","4.50932378979","69.0","2.17665615142","194.0","6.00805202849","2330.0","6.69694182571","392.0","12.2922546253","1595.0","19291.0","32679.0","2098.0","21958.0","236.0","115.0","0.523727115402","58.9462610438","37.2022878823","731.0","3.32908279443","16.0","2.18878248974","808.0",".    ","4094.0","26.0","4.0","878.0","52.84738041","44.9886104784","51.0","18.0","23.0","7.0","10023.0","288.083467464"
"Dulsberg","17326.0","2169.0","12.518757936","2227.0","12.8535149486","3634.0","20.9742583401","7273.0","41.984644692","1551.0","71.4746543779","12001.0","1.47671027414","8555.0","71.2857261895","1359.0","11.3240563286","599.0","44.076526858","1.22582953683","14134.1022381","183.0","131.0","2307.0","2298.0","9.0","8125.0","61.2560313631","1174.0","8.85102533172","83.0","4.00966183575","170.0","10.0176782557","3060.0","17.66131825","724.0","39.4550408719","1809.0","8895.0","21239.0","1074.0","10742.0","23.0","39.0","0.363060882517","53.2865388196","33.0372850052","1087.0","10.1191584435","420.0","38.6384544618","736.0",".    ","2845.0","8.0","0.0","707.0","71.2871287129","25.6011315417","23.0","8.0","9.0","3.0","3874.0","223.594597714"
