"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barmbek-Nord","41475.0","4213.0","10.1579264617","5521.0","13.3116335142","5309.0","12.8004822182","10793.0","26.0367162811","1958.0","46.4862298196","29013.0","1.44952262779","20449.0","70.4821976355","2923.0","10.0747940578","842.0","28.8060212111","3.85119606749","10769.3815825","572.0","348.0","6338.0","5840.0","498.0","21510.0","66.7473468628","1715.0","5.32178985912","101.0","2.52310766925","290.0","7.40362522339","3459.0","8.33996383363","617.0","16.5504291845","2380.0","23386.0","28330.0","2684.0","26661.0","191.0","281.0","1.05397396947","56.6004275909","36.3839421338","959.0","3.59701436555","91.0","9.48905109489","773.0",".    ","3588.0","13.0","2.0","1003.0","60.2193419741","37.6869391825","100.0","29.0","38.0","12.0","11153.0","268.908981314"
"Ohlsdorf","15794.0","2499.0","15.8224642269","2703.0","17.1140939597","1552.0","9.82651639863","3436.0","21.7550968722","777.0","31.0551558753","9107.0","1.75063138245","5128.0","56.3083342484","1578.0","17.3273306248","357.0","22.6235741445","7.1607871926","2205.62342871","175.0","117.0","1987.0","1678.0","309.0","6615.0","60.5547418528","455.0","4.165140974","42.0","2.83783783784","81.0","4.71478463329","980.0","6.20488793213","219.0","10.1061375173","614.0","9124.0","39049.0","2374.0","8202.0","132.0","1699.0","20.7144598878","73.6033894172","38.2230593896","460.0","5.608388198","183.0","39.7826086957","617.0","4279.0","3554.0","10.0","0.0","730.0","51.5068493151","46.0273972603","13.0","7.0","7.0","4.0","5538.0","350.639483348"
"Fuhlsbüttel","12590.0","1959.0","15.5599682288","2521.0","20.0238284353","1560.0","12.3907863384","2826.0","22.4481690365","630.0","32.1592649311","7058.0","1.75106262397","3867.0","54.7888920374","1188.0","16.8319637291","293.0","24.6632996633","7.7744073665","1619.41604118","157.0","132.0","1534.0","1451.0","83.0","5169.0","61.3240004746","338.0","4.00996559497","32.0","2.46723207402","68.0","4.8606147248","889.0","7.06115965052","205.0","12.5","530.0","6490.0","39526.0","2066.0","6745.0","71.0","1519.0","22.5203854707","76.5272053373","40.9988880064","169.0","2.50555967383","0.0","0.0","548.0","3774.0","2920.0","7.0","2.0","583.0","39.6226415094","57.8044596913","25.0","5.0","15.0","4.0","4730.0","375.694996029"
"Langenhorn","45586.0","8017.0","17.5865397271","8899.0","19.5213442724","7138.0","15.6583161497","14120.0","31.001624731","3675.0","45.8458083832","22845.0","1.90295469468","10986.0","48.0892974393","4607.0","20.1663383673","1220.0","26.481441285","13.3671431237","3410.30237936","507.0","430.0","5673.0","5135.0","538.0","17189.0","57.1271893383","1607.0","5.34082222739","167.0","3.12734082397","290.0","5.40540540541","4867.0","10.6765234941","1355.0","20.5365262201","2501.0","20892.0","30965.0","9264.0","21100.0","449.0","8388.0","39.7535545024","75.8098104265","35.089435353","1841.0","8.72511848341","270.0","14.6659424226","332.0","2798.0","3450.0","25.0","6.0","2436.0","55.13136289","41.1330049261","92.0","21.0","21.0","8.0","16632.0","364.848857105"
"Eilbek","21505.0","2481.0","11.5368518949","3420.0","15.9032783074","3129.0","14.5501046268","6473.0","30.1181835101","1341.0","54.0943929004","14252.0","1.52855739545","9451.0","66.3134998597","1607.0","11.2756104406","415.0","25.8245177349","1.7513780118","12278.9025871","271.0","176.0","2965.0","2841.0","124.0","10519.0","66.0575232354","749.0","4.7035920623","43.0","2.2489539749","138.0","6.65701881331","1666.0","7.74703557312","401.0","18.5562239704","969.0","12199.0","32559.0","1542.0","13059.0","51.0","196.0","1.50088061873","62.5155065472","37.962799349","436.0","3.33869362126","30.0","6.88073394495","926.0",".    ","3884.0","13.0","3.0","618.0","53.074433657","43.5275080906","36.0","13.0","25.0","3.0","6347.0","295.140664962"
"Wandsbek","34469.0","4177.0","12.1181351359","6582.0","19.0954190722","5482.0","15.9041457542","11395.0","33.0750029026","2354.0","56.3832335329","21220.0","1.61701225259","12988.0","61.2064090481","2699.0","12.7191328935","717.0","26.5653945906","5.94357927303","5799.36742098","389.0","342.0","4900.0","4321.0","579.0","15409.0","63.3619803446","1215.0","4.99609358937","91.0","2.51034482759","235.0","6.30872483221","3245.0","9.41425628826","748.0","20.9641255605","1904.0","17913.0","28567.0","3906.0","19894.0","311.0","2257.0","11.3451291847","65.1537649543","37.6039049581","901.0","4.52900371971","113.0","12.5416204218","452.0","3381.0","3413.0","14.0","5.0","1157.0","52.9818496111","43.9066551426","65.0","27.0","42.0","9.0","11421.0","331.341205141"
"Marienthal","13417.0","2059.0","15.3462025788","2810.0","20.9435790415","1737.0","12.9462622047","3697.0","27.5813190093","892.0","43.3430515063","7092.0","1.79554427524","3725.0","52.5239706712","1194.0","16.8358714044","213.0","17.8391959799","3.2132391043","4175.53738284","159.0","160.0","2874.0","2486.0","388.0","4978.0","55.8196905136","345.0","3.86858039919","24.0","1.53256704981","64.0","4.51339915374","669.0","4.9862115227","143.0","8.4665482534","404.0","6621.0","59131.0","2139.0","6565.0","40.0","1577.0","24.0213252094","90.1000761615","44.086382947","25.0","0.3808073115","0.0","0.0","613.0","4091.0","3453.0","9.0","1.0","537.0","35.3817504655","62.7560521415","71.0","16.0","14.0","4.0","5323.0","396.735484833"
"Jenfeld","25622.0","4937.0","19.2685972992","4639.0","18.1055343065","5856.0","22.8553586761","14192.0","55.4353345572","3692.0","74.8732508619","12693.0","1.99188529111","6097.0","48.0343496415","2776.0","21.8703222248","834.0","30.0432276657","4.9911869453","5133.44827208","285.0","285.0","3203.0","2728.0","475.0","8355.0","49.4642117104","1473.0","8.72062044876","126.0","3.68313358667","275.0","8.5910652921","5278.0","20.5994848177","1564.0","38.2209188661","2474.0","10163.0","23975.0","2643.0","10892.0","36.0","2081.0","19.1057656996","72.7766250459","30.9375926938","1389.0","12.7524788836","384.0","27.6457883369","399.0","2890.0","2603.0","15.0","4.0","1671.0","64.631956912","31.657690006","32.0","14.0","16.0","5.0","7577.0","295.72242604"
"Tonndorf","14762.0","2503.0","16.95569706","2723.0","18.4460100257","2258.0","15.2960303482","5539.0","37.5398170112","1441.0","57.5709149021","8067.0","1.84988223627","4178.0","51.7912482955","1547.0","19.1768935168","358.0","23.141564318","3.9411318166","3745.62452791","155.0","152.0","2023.0","1372.0","651.0","5915.0","59.8926690968","603.0","6.10571081409","44.0","2.87018917156","120.0","7.20720720721","1679.0","11.3737975884","486.0","22.4687933426","875.0","7211.0","32210.0","2307.0","7412.0","41.0","1777.0","23.9746357258","76.2284133837","38.2742853272","870.0","11.737722612","127.0","14.5977011494","413.0","2970.0","2752.0","5.0","1.0","710.0","58.7323943662","38.7323943662","22.0","6.0","11.0","3.0","5577.0","377.794336811"
"Farmsen-Berne","34634.0","5988.0","17.2893688283","6997.0","20.2026909973","3951.0","11.4078651037","10321.0","29.8062205793","2699.0","45.0509096979","17660.0","1.92197055493","8332.0","47.1800679502","3765.0","21.3193657984","991.0","26.3213811421","8.2263672007","4210.12084132","363.0","371.0","3252.0","3522.0","-270.0","13748.0","60.7056122224","1105.0","4.87923345255","77.0","2.21200804367","213.0","4.97431106959","3524.0","10.1749725703","1025.0","20.5410821643","1753.0","16784.0","31603.0","6417.0","16702.0","69.0","5702.0","34.1396239971","76.0566399234","36.6777732864","1191.0","7.13088252904","70.0","5.87741393787","444.0","2713.0","2701.0","21.0","6.0","2027.0","58.2141095215","38.0858411445","34.0","13.0","17.0","5.0","13293.0","383.813593579"
"Bramfeld","51858.0","7542.0","14.5435612635","11311.0","21.8114852096","5914.0","11.404219214","14564.0","28.1066059401","3388.0","44.957537155","29760.0","1.76239919355","15902.0","53.4341397849","4888.0","16.4247311828","1414.0","28.9279869067","10.0658645001","5151.86748237","540.0","510.0","4935.0","4147.0","788.0","20976.0","61.163434903","1811.0","5.28065315644","155.0","2.9540689918","333.0","5.06617982656","5321.0","10.2607119442","1309.0","20.937300064","3027.0","25974.0","30928.0","9013.0","27747.0","284.0","7515.0","27.0840090821","71.0528345407","38.0173358016","1895.0","6.82956716041","283.0","14.9340369393","444.0","3219.0","2818.0","24.0","5.0","2292.0","54.1884816754","42.2338568935","69.0","31.0","35.0","9.0","20695.0","399.070538779"
"Steilshoop","19390.0","3707.0","19.1181021145","3814.0","19.6699329551","4312.0","22.238267148","9684.0","49.9690402477","2619.0","70.6120248045","9602.0","2.01322641116","4473.0","46.5840449906","2120.0","22.0787335972","654.0","30.8490566038","2.49836693207","7761.06974164","216.0","190.0","1595.0","1492.0","103.0","6534.0","52.3599647408","1159.0","9.28760317333","116.0","5.00863557858","161.0","7.03056768559","4725.0","24.3682310469","1446.0","46.6903454956","2104.0","8598.0","22730.0","956.0","8766.0","28.0","335.0","3.82158339037","74.2055669633","33.5474987107","2807.0","32.0214464978","150.0","5.34378339865","412.0",".    ","2459.0","12.0","2.0","1257.0","68.5759745426","26.7303102625","10.0","7.0","6.0","2.0","5735.0","295.771015988"
"Wellingsbüttel","10506.0","1880.0","17.8945364554","2994.0","28.4980011422","616.0","5.86331620027","1729.0","16.4494339264","467.0","24.8272195641","5145.0","2.05442176871","2095.0","40.7191448008","1130.0","21.9630709427","150.0","13.2743362832","4.0865355278","2570.88184564","86.0","137.0","1001.0","937.0","64.0","3068.0","51.5283842795","134.0","2.25058784011","3.0","0.324675324675","27.0","2.21493027071","154.0","1.46582905007","25.0","1.60462130937","110.0","5156.0","88606.0","2845.0","5072.0","49.0","2667.0","52.582807571","119.775039432","57.8240053303","22.0","0.433753943218","0.0","0.0","772.0","4170.0","3551.0","6.0","1.0","632.0","19.4620253165","79.9050632911","24.0","7.0","12.0","2.0","5327.0","507.043594137"
"Sasel","23490.0","4426.0","18.8420604513","6035.0","25.6917837378","1253.0","5.33418475947","3652.0","15.5536626917","1052.0","23.7740112994","11095.0","2.14952681388","4068.0","36.6651644885","2660.0","23.9747634069","375.0","14.0977443609","8.3630754181","2808.77533989","159.0","198.0","1603.0","1496.0","107.0","7600.0","54.8182342758","287.0","2.07010963647","18.0","0.802496656264","87.0","2.72130121989","343.0","1.46019582801","67.0","1.86577554999","217.0","10933.0","61360.0","7392.0","10789.0","81.0","7480.0","69.3298730188","112.434887385","51.6415495956","36.0","0.333673185652","0.0","0.0","503.0","3805.0","2877.0","12.0","3.0","1594.0","31.0539523212","67.3776662484","30.0","9.0","12.0","2.0","12082.0","514.346530438"
"Poppenbüttel","22847.0","3605.0","15.7788768766","7624.0","33.3698078522","1405.0","6.14960388672","4419.0","19.3425544953","1180.0","32.7323162275","10971.0","2.02041746422","4451.0","40.5705952055","2228.0","20.3080849512","376.0","16.8761220826","8.1052305867","2818.79704169","178.0","437.0","1892.0","1452.0","440.0","6898.0","56.2596851807","306.0","2.49571813066","21.0","1.15257958288","84.0","3.07467057101","528.0","2.31102551757","129.0","4.35516542876","299.0","11517.0","52157.0","6128.0","10546.0","139.0","6025.0","57.1306656552","103.636923952","47.8380093667","449.0","4.25753840319","217.0","48.3296213808","500.0","3073.0","3283.0","10.0","3.0","1187.0","30.4128053917","67.9865206403","120.0","26.0","44.0","9.0","10744.0","470.258677288"
"Hummelsbüttel","17655.0","3077.0","17.4284905126","4419.0","25.0297366185","2522.0","14.284905126","6043.0","34.2476622273","1566.0","50.9268292683","8589.0","1.9902200489","3638.0","42.3565025032","1804.0","21.0036092677","493.0","27.3281596452","9.0835956451","1943.6135964","153.0","174.0","1959.0","1697.0","262.0","5953.0","55.7084035186","544.0","5.09077297398","40.0","2.34055002926","100.0","4.35350457118","1880.0","10.6485414897","485.0","19.0196078431","939.0","7872.0","38135.0","2754.0","8081.0","17.0","2226.0","27.5460957802","88.6276450934","40.5664117814","2024.0","25.0464051479","1115.0","55.0889328063","533.0","3263.0","3027.0","10.0","1.0","1029.0","48.4936831876","48.2021379981","14.0","10.0","11.0","2.0","7229.0","409.459076749"
"Lemsahl-Mellingstedt","6917.0","1343.0","19.4159317623","1378.0","19.9219314732","592.0","8.55862368079","1232.0","17.8240740741","373.0","27.773641102","2888.0","2.32063711911","823.0","28.4972299169","765.0","26.4889196676","109.0","14.2483660131","8.002216325","864.385530093","54.0","37.0","794.0","528.0","266.0","2162.0","48.4536082474","96.0","2.1515015688","8.0","1.00502512563","27.0","2.48161764706","176.0","2.54445568888","50.0","4.64252553389","93.0","3126.0","75191.0","2341.0","2750.0","16.0","2466.0","89.6727272727","131.813454545","52.4052334827","29.0","1.05454545455","29.0","100.0","447.0","3733.0","3270.0","4.0","1.0","411.0","31.6301703163","66.4233576642","3.0","2.0","1.0","1.0","3837.0","554.720254446"
"Duvenstedt","6247.0","1357.0","21.7224267648","1183.0","18.9370898031","481.0","7.69969585401","960.0","15.3796859981","346.0","25.4974207811","2627.0","2.40236010659","787.0","29.9581271412","782.0","29.767795965","142.0","18.1585677749","6.782221382","921.084648841","42.0","36.0","398.0","408.0","-10.0","2059.0","51.7336683417","84.0","2.11055276382","15.0","1.88916876574","12.0","1.53846153846","277.0","4.43412838162","94.0","8.67158671587","92.0","2738.0","65694.0","1773.0","2516.0","21.0","1816.0","72.1780604134","117.713831479","47.4096366256","82.0","3.25914149444","0.0","0.0","429.0","3530.0","3012.0","3.0","1.0","538.0","31.4126394052","65.6133828996","13.0","5.0","7.0","3.0","3225.0","516.247798943"
"Wohldorf-Ohlstedt","4656.0","986.0","21.176975945","993.0","21.3273195876","278.0","5.97079037801","652.0","14.000429461","204.0","20.7106598985","2020.0","2.3301980198","621.0","30.7425742574","561.0","27.7722772277","89.0","15.8645276292","17.288528172","269.311531536","41.0","27.0","608.0","785.0","-177.0","1310.0","45.4545454545","36.0","1.24913254684","0.0","0.0","16.0","2.56","64.0","1.37457044674","17.0","2.17669654289","38.0","2066.0","94234.0","1496.0","1922.0","22.0","1544.0","80.3329864724","143.505723205","59.2392611684","0.0","0.0","0.0","0.0","476.0","3877.0","4054.0","4.0","1.0","361.0","31.8559556787","66.4819944598","0.0","0.0","4.0","1.0","2471.0","530.713058419"
"Bergstedt","10687.0","2282.0","21.3530457565","2266.0","21.20333115","877.0","8.2062318705","1806.0","16.9006176305","611.0","26.7747589833","4671.0","2.18625561978","1717.0","36.758724042","1252.0","26.803682295","206.0","16.4536741214","7.0391460339","1518.22393633","98.0","91.0","1224.0","742.0","482.0","3478.0","53.1641699786","175.0","2.67502292877","14.0","1.25","35.0","2.71739130435","528.0","4.94058201553","154.0","8.19584885577","261.0","4836.0","51374.0","2829.0","4557.0","30.0","2778.0","60.961158657","103.220100944","44.0136614578","187.0","4.10357691464","0.0","0.0","442.0","3425.0","2597.0","9.0","1.0","776.0","44.2010309278","53.6082474227","7.0","5.0","5.0","2.0","4837.0","452.60596987"
"Volksdorf","20625.0","4176.0","20.2472727273","5406.0","26.2109090909","1303.0","6.31757575758","3250.0","15.7782308962","1008.0","24.1726618705","9417.0","2.16555166189","3497.0","37.1349686737","2385.0","25.3265371137","506.0","21.215932914","11.5762444374","1781.66590309","140.0","258.0","1629.0","1371.0","258.0","5987.0","50.3320722993","315.0","2.64817150063","24.0","1.0801080108","69.0","2.56505576208","734.0","3.55878787879","230.0","6.91937424789","360.0","9494.0","63763.0","5496.0","9009.0","88.0","5270.0","58.4970584971","112.544233544","49.1593212121","726.0","8.05860805861","388.0","53.4435261708","609.0","3804.0","3673.0","13.0","4.0","1577.0","37.8566899176","58.7824984147","81.0","23.0","27.0","5.0","9297.0","450.763636364"
"Rahlstedt","90631.0","15645.0","17.2623053922","20548.0","22.6721541195","11339.0","12.5111716742","28324.0","31.2657990308","7429.0","47.4757157464","46401.0","1.92995840607","21393.0","46.1046098144","9493.0","20.4586108058","2560.0","26.9672390182","26.5659843943","3411.54307158","899.0","998.0","8657.0","7045.0","1612.0","33322.0","58.1535776614","2927.0","5.10820244328","274.0","2.8595282822","508.0","4.64648312449","9257.0","10.2139444561","2656.0","20.7775952437","4625.0","42075.0","33419.0","15225.0","43853.0","233.0","12509.0","28.5248443664","81.1095478074","39.2459202701","3611.0","8.23432832417","738.0","20.4375519247","418.0","3162.0","2670.0","34.0","12.0","5081.0","55.3237551663","41.3698090927","156.0","55.0","63.0","16.0","36023.0","397.468857234"
"Lohbrügge","39575.0","6212.0","15.6967782691","9439.0","23.8509159823","4805.0","12.1415034744","15284.0","38.6545270612","3550.0","57.2303724005","20782.0","1.88701761139","10032.0","48.2725435473","3816.0","18.3620440766","1105.0","28.9570230608","13.0449522911","3033.7404934","377.0","447.0","3610.0","3393.0","217.0","15247.0","60.6146139779","1262.0","5.01709469667","73.0","1.6572077185","237.0","4.94574290484","4086.0","10.3246999368","1067.0","21.4171015656","2157.0","18234.0","29127.0","5693.0","20038.0","34.0","4414.0","22.0281465216","74.758159497","37.8522804801","1656.0","8.26429783412","963.0","58.152173913","388.0","2826.0","2412.0","13.0","4.0","2074.0","55.737704918","41.4175506268","44.0","17.0","24.0","7.0","14548.0","367.60581175"
"Bergedorf","35105.0","6089.0","17.3451075345","7072.0","20.1452784504","5204.0","14.8240991312","11208.0","31.9571167883","2750.0","45.2079566004","18101.0","1.88553118612","8905.0","49.1961770068","3500.0","19.3359482901","988.0","28.2285714286","10.3590985453","3388.8083839","400.0","394.0","4685.0","4029.0","656.0","13165.0","57.4088609803","1142.0","4.97994069423","62.0","1.58446204958","199.0","5.01007049345","3659.0","10.4230166643","958.0","18.7806312488","1991.0","15979.0","35049.0","5131.0","16811.0","202.0","4018.0","23.9010171911","79.3786211409","38.012647771","710.0","4.2234251383","167.0","23.5211267606","442.0","2815.0","2744.0","22.0","7.0","1887.0","51.0333863275","46.4758876524","149.0","37.0","50.0","11.0","12120.0","345.249964393"
"Curslack","3937.0","789.0","20.0406400813","608.0","15.4432308865","717.0","18.2118364237","1016.0","25.8195679797","308.0","39.0367553866","1550.0","2.19483870968","544.0","35.0967741935","378.0","24.3870967742","70.0","18.5185185185","10.57381252","372.334954167","64.0","27.0","446.0","436.0","10.0","1464.0","54.8725637181","104.0","3.89805097451","4.0","0.833333333333","19.0","3.72549019608","406.0","10.3124206248","120.0","18.154311649","177.0","1711.0","41512.0","943.0","1453.0","4.0","973.0","66.9649002065","104.79008947","38.6741173482","17.0","1.16999311769","12.0","70.5882352941","247.0",".    ",".    ","1.0","1.0","260.0","58.4615384615","40.3846153846","8.0","5.0","0.0","1.0","1781.0","452.37490475"
"Altengamme","2229.0","407.0","18.2593091072","439.0","19.6949304621","81.0","3.63391655451","201.0","9.02964959569","57.0","14.0049140049","1017.0","2.21238938053","343.0","33.726647001","250.0","24.5821042281","54.0","21.6","15.60817234","142.809801907","23.0","16.0","158.0","154.0","4.0","877.0","59.9043715847","31.0","2.1174863388","4.0","1.68067226891","6.0","1.90476190476","65.0","2.91610587707","12.0","3.68098159509","33.0","1060.0","47341.0","642.0","908.0","8.0","697.0","76.7621145374","107.496696035","43.7895917452","4.0","0.440528634361","0.0","0.0","209.0","2401.0",".    ","1.0","1.0","134.0","54.4776119403","44.0298507463","1.0","1.0","0.0","0.0","1252.0","561.686855092"
"Neuengamme","3691.0","631.0","17.0956380385","757.0","20.5093470604","150.0","4.06393931184","325.0","8.80520184232","82.0","12.9952456418","1683.0","2.18835412953","573.0","34.0463458111","393.0","23.3511586453","62.0","15.7760814249","18.617027082","198.259366748","32.0","39.0","281.0","244.0","37.0","1496.0","61.9461697723","59.0","2.44306418219","0.0","0.0","9.0","1.64233576642","105.0","2.84475751829","24.0","4.62427745665","59.0","1791.0","40936.0","1042.0","1516.0","8.0","1128.0","74.4063324538","108.104221636","44.401517204","20.0","1.31926121372","0.0","0.0","234.0",".    ",".    ","2.0","0.0","221.0","62.443438914","35.7466063348","1.0","1.0","2.0","0.0","2026.0","548.902736386"
"Kirchwerder","9804.0","1689.0","17.2276621787","1964.0","20.0326397389","716.0","7.30314157487","1224.0","12.4910705174","322.0","19.0758293839","4480.0","2.190625","1519.0","33.90625","1049.0","23.4151785714","190.0","18.1124880839","32.308070685","303.453588906","92.0","85.0","955.0","570.0","385.0","4014.0","62.1843532146","136.0","2.10689388071","19.0","1.79245283019","19.0","1.42322097378","311.0","3.1721746226","73.0","5.27075812274","178.0","4668.0","39284.0","2771.0","4098.0","59.0","3029.0","73.9141044412","106.481698389","44.5085679315","26.0","0.634455832113","8.0","30.7692307692","221.0","2444.0",".    ","7.0","2.0","576.0","64.4097222222","34.375","7.0","7.0","3.0","2.0","5357.0","546.409628723"
"Ochsenwerder","2540.0","407.0","16.0236220472","493.0","19.4094488189","241.0","9.48818897638","396.0","15.5966916109","102.0","25.0614250614","1223.0","2.10139002453","449.0","36.7130008177","258.0","21.0956663941","46.0","17.8294573643","14.09993664","180.142653464","21.0","36.0","224.0","179.0","45.0","1055.0","62.0223398001","33.0","1.94003527337","0.0","0.0","8.0","2.40963855422","63.0","2.48031496063","18.0","5.20231213873","30.0","1265.0","38634.0","702.0","1080.0","11.0","738.0","68.3333333333","118.19537037","50.2562992126","3.0","0.277777777778","0.0","0.0","212.0","2637.0",".    ","2.0","1.0","161.0","62.7329192547","37.2670807453","2.0","2.0","0.0","0.0","1495.0","588.582677165"
